# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
               1.1               -0.019          0 
        1.09940067                0.011          0 
        1.09994121               -0.004          0 
        1.09974346                0.042          0 
        1.10235515                0.042          0 
        1.10480723               -0.054          0 
        1.10285827               -0.028          0 
          1.101973                -0.02          0 
        1.10140017               -0.006          0 
        1.10125106                0.024          0 
        1.10270977               -0.007          0 
        1.10250417                0.007          0 
        1.10272487   0.0009999999999999          0 
        1.10275767                0.013          0 
        1.10317315                0.057          0 
          1.107251               -0.001          0 
        1.10721593                0.034          0 
        1.10869925               -0.004          0 
        1.10858722               -0.059          0 
        1.10707439               -0.002          0 
        1.10699606                0.014          0 
         1.1075478                0.038          0 
        1.10981832                0.066          0 
        1.11390288                0.015          0 
         1.1147077               -0.037          0 
        1.11373132                0.035          0 
        1.11577922               -0.026          0 
        1.11513884               -0.043          0 
        1.11403884                0.007          0 
        1.11425252                0.041          0 
        1.11721917                -0.01          0 
        1.11700245               -0.016          0 
        1.11664137               -0.039          0 
        1.11570184               -0.033          0 
        1.11478573               -0.134          0 
        1.11143745                0.024          0 
        1.11215609                0.002          0 
        1.11221632                -0.02          0 
        1.11149833                0.021          0 
        1.11253013               -0.056          0 
        1.11133324                0.019          0 
        1.11203494               -0.073          0 
        1.11028528                0.006          0 
         1.1104432               -0.053          0 
        1.10917159               -0.025          0 
        1.10855953                0.003          0 
        1.10867262               -0.002          0 
        1.10861099                0.076          0 
        1.11182983               -0.096          0 
         1.1093452               -0.044          0 
        1.10830009               -0.041          0 
        1.10720604                -0.04          0 
        1.10605487                0.014          0 
        1.10651933               -0.028          0 
        1.10555309                    0          0 
        1.10555309                0.032          0 
         1.1085726                0.021          0 
        1.10969736               -0.005          0 
         1.1095778                0.012          0 
        1.11012665               -0.012          0 
         1.1096235               -0.016          0 
         1.1090724                0.003          0 
        1.10919383                0.017          0 
        1.10996942               -0.008          0 
        1.10973115                0.021          0 
        1.11051478               -0.063          0 
        1.10875388               -0.022          0 
        1.10821063                0.002          0 
        1.10828083                -0.04          0 
        1.10716923               -0.021          0 
        1.10655688               -0.012          0 
        1.10606297               -0.009          0 
        1.10579947                0.062          0 
        1.10953569                0.025          0 
        1.11036763               -0.028          0 
        1.10972516                0.039          0 
        1.11113252               -0.036          0 
        1.11036536                0.005          0 
        1.11054064                0.057          0 
        1.11290372                0.032          0 
        1.11549447                0.015          0 
        1.11594078                0.021          0 
        1.11659588               -0.073          0 
        1.11495327               -0.053          0 
        1.11375013                -0.02          0 
        1.11333524                0.054          0 
        1.11489811               -0.007          0 
        1.11474064               -0.024          0 
        1.11386626               -0.057          0 
        1.11183067               -0.028          0 
        1.11091599                0.036          0 
        1.11232983               -0.078          0 
        1.11015119               -0.064          0 
        1.10863385  -0.0009999999999999          0 
        1.10859056               -0.021          0 
        1.10786643                0.017          0 
        1.10828297               -0.062          0 
        1.10669381               -0.004          0 
        1.10656921               -0.075          0 
        1.10397156                0.047          0 
        1.10653195               -0.061          0 
        1.10514647               -0.029          0 
        1.10414589               -0.076          0 
         1.1024494               -0.015          0 
        1.10202145               -0.009          0 
        1.10177678                0.012          0 
        1.10219343               -0.043          0 
        1.10124197               -0.087          0 
        1.09912513               -0.085          0 
        1.09748085                0.037          0 
        1.09905603                0.029          0 
        1.10031809               -0.019          0 
        1.09968478                0.018          0 
        1.10046332               -0.084          0 
        1.09864955                 0.05          0 
         1.1018367               -0.008          0 
         1.1016137               -0.038          0 
        1.10058279                0.008          0 
        1.10083647                 0.02          0 
        1.10159435                0.055          0 
        1.10421953                0.042          0 
        1.10777074               -0.022          0 
         1.1072117               -0.073          0 
         1.1053684                0.038          0 
         1.1067252               -0.004          0 
         1.1066051               -0.005          0 
        1.10643861                0.009          0 
        1.10674002               -0.021          0 
        1.10619456               -0.008          0 
        1.10595582                0.055          0 
        1.10875338               -0.081          0 
        1.10707281               -0.017          0 
        1.10654423                0.027          0 
        1.10841714                0.022          0 
        1.10997084                0.027          0 
        1.11111359                0.012          0 
        1.11162006               -0.038          0 
        1.11030839               -0.014          0 
        1.10970453                -0.01          0 
          1.109407               -0.051          0 
        1.10811408               -0.059          0 
        1.10670114                0.046          0 
        1.10843633               -0.038          0 
        1.10735549                0.031          0 
        1.10868659                0.012          0 
         1.1090425               -0.138          0 
        1.10527932               -0.009          0 
        1.10498277               -0.019          0 
         1.1043816   0.0009999999999999          0 
         1.1044184               -0.049          0 
        1.10295346               -0.057          0 
        1.10127516                0.095          0 
        1.10413023                0.041          0 
        1.10554042               -0.078          0 
        1.10382127                0.018          0 
        1.10467514               -0.019          0 
        1.10412356               -0.016          0 
        1.10352975               -0.002          0 
        1.10347179               -0.055          0 
         1.1023964               -0.004          0 
          1.102287               -0.029          0 
        1.10155907               -0.002          0 
        1.10149855                0.025          0 
        1.10228696               -0.025          0 
        1.10169612                0.015          0 
        1.10241724               -0.006          0 
        1.10224358                0.006          0 
        1.10246393               -0.051          0 
        1.10098663                0.028          0 
        1.10264777                0.028          0 
        1.10355396               -0.047          0 
         1.1019945               -0.032          0 
        1.10088985                0.012          0 
        1.10143377                0.023          0 
        1.10243436                -0.02          0 
        1.10176937                0.065          0 
        1.10624604                0.006          0 
        1.10643158                0.019          0 
        1.10709041                0.035          0 
        1.10873926               -0.075          0 
        1.10724512               -0.039          0 
        1.10638921                 0.02          0 
        1.10772951                0.011          0 
        1.10806225                0.026          0 
        1.10889119               -0.022          0 
        1.10840712               -0.054          0 
         1.1067237               -0.071          0 
        1.10510954                0.002          0 
        1.10518913                -0.01          0 
         1.1048531                0.005          0 
        1.10505498               -0.076          0 
        1.10274949                0.025          0 
        1.10345603                0.029          0 
        1.10499191               -0.021          0 
        1.10446656               -0.007          0 
        1.10422938               -0.038          0 
        1.10312296               -0.086          0 
         1.1014005                0.002          0 
         1.1014517               -0.046          0 
        1.10028978                0.043          0 
         1.1017377                0.002          0 
        1.10185288               -0.029          0 
        1.10092614                0.031          0 
        1.10261686                0.058          0 
        1.10975156                    0          0 
        1.10975156               -0.055          0 
         1.1078037               -0.101          0 
        1.10573792                0.042          0 
        1.10737408                0.032          0 
        1.10905112                0.044          0 
        1.11074888               -0.024          0 
        1.10989391               -0.024          0 
        1.10917214               -0.018          0 
        1.10857618               -0.078          0 
        1.10650884               -0.018          0 
        1.10595528               -0.001          0 
        1.10590601               -0.039          0 
         1.1048024                0.023          0 
        1.10547362                0.012          0 
        1.10585749               -0.043          0 
        1.10424902                0.019          0 
        1.10494446               -0.018          0 
        1.10444283               -0.059          0 
        1.10233854                0.038          0 
         1.1040896                0.002          0 
        1.10416114                0.037          0 
        1.10598685                0.029          0 
        1.10684271               -0.044          0 
         1.1060111               -0.022          0 
        1.10521129               -0.029          0 
        1.10413519                0.069          0 
        1.10693729                0.017          0 
        1.10764161               -0.031          0 
        1.10676897               -0.038          0 
        1.10556305               -0.009          0 
        1.10536123               -0.018          0 
        1.10460233               -0.054          0 
        1.10321959                0.017          0 
        1.10392601                0.019          0 
        1.10542047                0.014          0 
        1.10597774               -0.076          0 
        1.10356648                0.017          0 
        1.10416107  -0.0009999999999999          0 
        1.10412143               -0.018          0 
        1.10359815                0.009          0 
        1.10381581                0.002          0 
        1.10387228                0.039          0 
        1.10545814               -0.015          0 
        1.10498116               -0.021          0 
        1.10435457               -0.063          0 
        1.10261007               -0.011          0 
        1.10231575               -0.003          0 
        1.10223875               -0.024          0 
        1.10153388               -0.012          0 
        1.10117126                0.038          0 
        1.10221477                0.009          0 
        1.10252117               -0.022          0 
        1.10190184               -0.041          0 
