# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
         1.1009193               -0.014          0 
         1.1001066               -0.068          0 
        1.09840102                0.001          0 
        1.09842557                0.004          0 
         1.0985593               -0.019          0 
        1.09809688               -0.007          0 
        1.09781611                0.011          0 
        1.09843353                    0          0 
        1.09843353                0.028          0 
         1.0993437               -0.005          0 
        1.09917195                0.011          0 
        1.09946158                0.024          0 
        1.10045617               -0.009          0 
        1.10023101               -0.004          0 
         1.1001356               -0.015          0 
        1.09970245                    0          0 
        1.09970245               -0.063          0 
         1.0983297               -0.009          0 
        1.09812161                0.018          0 
        1.09893417                0.053          0 
        1.10099839               -0.014          0 
        1.10050946                0.006          0 
        1.10070352                0.013          0 
        1.10114815                0.078          0 
        1.10506356               -0.084          0 
        1.10315908               -0.093          0 
        1.10071582               -0.012          0 
        1.10042139               -0.025          0 
        1.09980051                0.012          0 
        1.10038727               -0.022          0 
        1.09965893                0.034          0 
        1.10196782                0.014          0 
        1.10263251                0.043          0 
        1.10519949                0.027          0 
        1.10584638                0.057          0 
         1.1075051               -0.016          0 
        1.10683393               -0.017          0 
        1.10595565                0.019          0 
        1.10657359               -0.022          0 
        1.10593864               -0.022          0 
        1.10535883               -0.079          0 
        1.10333522               -0.049          0 
        1.10160519                0.028          0 
        1.10266877                0.021          0 
        1.10364469               -0.006          0 
        1.10345879                0.037          0 
        1.10509008               -0.043          0 
         1.1039611               -0.006          0 
         1.1036295               -0.032          0 
        1.10279298                0.005          0 
        1.10302545               -0.013          0 
        1.10259705               -0.018          0 
        1.10205302               -0.003          0 
        1.10195593                 0.04          0 
        1.10392117                0.003          0 
        1.10402211               -0.071          0 
        1.10238516               -0.005          0 
        1.10219465               -0.008          0 
        1.10194008               -0.029          0 
        1.10120645                0.014          0 
        1.10185259                0.058          0 
        1.10556353               -0.049          0 
        1.10410994                0.045          0 
        1.10556934               -0.004          0 
        1.10541458               -0.019          0 
        1.10492169               -0.052          0 
        1.10374256                0.014          0 
        1.10423606               -0.009          0 
        1.10374819               -0.039          0 
        1.10276162                0.025          0 
        1.10356335               -0.057          0 
        1.10231727                0.026          0 
        1.10324412                -0.02          0 
        1.10209605               -0.014          0 
        1.10158967               -0.005          0 
        1.10142382                0.018          0 
        1.10231623               -0.015          0 
        1.10171335                0.039          0 
        1.10404621                0.019          0 
        1.10483161                0.027          0 
        1.10607856               -0.006          0 
        1.10589258               -0.046          0 
         1.1049269                0.006          0 
        1.10519566                0.027          0 
        1.10598566               -0.023          0 
        1.10540707                0.016          0 
        1.10599149               -0.035          0 
          1.104806               -0.014          0 
        1.10422349               -0.063          0 
        1.10215286               -0.005          0 
        1.10189538               -0.024          0 
        1.10114551                0.004          0 
        1.10125027                  0.1          0 
        1.11077066               -0.084          0 
        1.10932881                0.004          0 
        1.10945191               -0.036          0 
        1.10850554               -0.013          0 
        1.10776232               -0.051          0 
        1.10641237                0.052          0 
        1.10829571               -0.047          0 
        1.10711246               -0.014          0 
        1.10675924               -0.045          0 
        1.10543232               -0.045          0 
        1.10366952                0.052          0 
        1.10658392               -0.006          0 
        1.10642627               -0.022          0 
        1.10573312               -0.044          0 
        1.10435886                0.014          0 
        1.10489978               -0.054          0 
        1.10343758                0.004          0 
        1.10360082                0.023          0 
        1.10484888                0.096          0 
        1.11106889               -0.064          0 
        1.10934923               -0.047          0 
        1.10832861                0.056          0 
        1.11173858               -0.014          0 
        1.11121205               -0.004          0 
        1.11107868               -0.017          0 
        1.11062256                -0.03          0 
        1.10969886                0.046          0 
        1.11199545                0.007          0 
        1.11215491                 0.01          0 
        1.11255308                0.057          0 
        1.11560369               -0.034          0 
         1.1148831                0.028          0 
        1.11567525                0.018          0 
        1.11623903               -0.081          0 
        1.11448439               -0.011          0 
        1.11418531                0.017          0 
        1.11480398                0.021          0 
        1.11593027               -0.025          0 
        1.11530971                -0.02          0 
        1.11480099               -0.003          0 
        1.11465115                0.052          0 
        1.11891031               -0.086          0 
        1.11722176               -0.002          0 
        1.11715625               -0.017          0 
        1.11672282               -0.052          0 
        1.11544091               -0.058          0 
        1.11399737               -0.014          0 
        1.11343638                -0.04          0 
        1.11232402               -0.072          0 
        1.10981888               -0.063          0 
         1.1082748               -0.004          0 
        1.10815268               -0.035          0 
        1.10698878               -0.012          0 
        1.10666115                 0.03          0 
        1.10794551                0.067          0 
        1.11116716                0.003          0 
         1.1113506               -0.055          0 
        1.10960959                0.047          0 
        1.11117166               -0.121          0 
        1.10770301                -0.02          0 
        1.10708956                0.024          0 
        1.10880909               -0.057          0 
        1.10704338               -0.019          0 
        1.10629024               -0.008          0 
        1.10593916                0.033          0 
        1.10721541                0.084          0 
        1.11219004               -0.024          0 
        1.11135462               -0.095          0 
        1.10803205               -0.063          0 
        1.10658495               -0.042          0 
        1.10480897               -0.041          0 
        1.10389114   0.0009999999999999          0 
        1.10392122               -0.013          0 
        1.10349755                0.002          0 
        1.10358298                0.004          0 
        1.10372768                0.007          0 
        1.10400156               -0.035          0 
        1.10309427                 0.06          0 
        1.10737878               -0.022          0 
        1.10678412               -0.006          0 
        1.10661629                    0          0 
        1.10661629                0.042          0 
        1.10846352               -0.022          0 
        1.10784645               -0.059          0 
        1.10626177               -0.036          0 
        1.10495761               -0.006          0 
        1.10474169               -0.002          0 
        1.10465798                0.053          0 
        1.10695157                0.048          0 
        1.10919134                0.032          0 
        1.11090905   0.0009999999999999          0 
        1.11094666                0.002          0 
        1.11100623                0.026          0 
        1.11221457               -0.019          0 
        1.11157371               -0.023          0 
        1.11053354               -0.101          0 
        1.10792026               -0.047          0 
        1.10663359               -0.041          0 
        1.10523426               -0.064          0 
        1.10363777               -0.067          0 
        1.10206942                -0.02          0 
        1.10145788               -0.021          0 
        1.10078623               -0.067          0 
        1.09935202               -0.036          0 
        1.09849847                0.053          0 
        1.10136168               -0.021          0 
        1.10052257               -0.019          0 
        1.10001729               -0.034          0 
        1.09887634                0.031          0 
        1.10014744                0.019          0 
        1.10076321                0.028          0 
        1.10193218                0.012          0 
        1.10261021                0.118          0 
        1.11248032                0.029          0 
        1.11340546               -0.053          0 
        1.11216645                0.012          0 
        1.11255101               -0.054          0 
        1.11037845                 0.04          0 
        1.11254994                0.012          0 
        1.11298822               -0.045          0 
        1.11158125                -0.04          0 
         1.1105576                0.012          0 
        1.11089795               -0.022          0 
        1.11024551               -0.043          0 
         1.1093537               -0.057          0 
        1.10785678                0.003          0 
        1.10797404                -0.02          0 
        1.10725981               -0.033          0 
        1.10616322                -0.03          0 
        1.10532945                0.012          0 
        1.10573292                0.028          0 
        1.10661725                -0.06          0 
        1.10506637                0.038          0 
        1.10721504               -0.037          0 
        1.10628653               -0.091          0 
        1.10408524               -0.013          0 
        1.10363969               -0.044          0 
        1.10244599               -0.017          0 
        1.10205899                0.037          0 
        1.10378428                0.035          0 
        1.10530593               -0.022          0 
        1.10422685                0.021          0 
        1.10517386               -0.027          0 
        1.10445888               -0.002          0 
        1.10438801                0.054          0 
        1.10578917               -0.055          0 
        1.10447538               -0.051          0 
        1.10291086               -0.017          0 
        1.10233173                0.016          0 
        1.10281181                -0.01          0 
        1.10252898                0.015          0 
        1.10303606               -0.019          0 
         1.1024621               -0.009          0 
         1.1021228               -0.033          0 
        1.10101133                0.035          0 
        1.10232207                0.067          0 
        1.10564033               -0.059          0 
        1.10370805               -0.128          0 
         1.1014523               -0.027          0 
        1.10059981                -0.02          0 
        1.09997219               -0.032          0 
        1.09910944               -0.004          0 
        1.09896425                0.011          0 
         1.0993416                0.014          0 
         1.0998911                0.016          0 
        1.10068707                -0.03          0 
        1.09982604                0.014          0 
        1.10031512               -0.022          0 
        1.09950097               -0.061          0 
        1.09799799               -0.004          0 
        1.09783461                0.093          0 
        1.10723582                0.038          0 
        1.10934929                0.076          0 
        1.11605588               -0.027          0 
        1.11527109               -0.038          0 
        1.11452391   0.0009999999999999          0 
        1.11456403                -0.02          0 
        1.11394952                0.003          0 
        1.11403419               -0.036          0 
        1.11302438                0.029          0 
        1.11374309                0.006          0 
        1.11400577               -0.029          0 
        1.11317062                0.014          0 
        1.11363723                0.005          0 
        1.11379311               -0.072          0 
        1.11210937               -0.028          0 
         1.1114405                0.023          0 
        1.11310432                 0.03          0 
        1.11408717                0.008          0 
        1.11437766               -0.027          0 
        1.11370704               -0.044          0 
         1.1126573               -0.025          0 
        1.11203671                0.011          0 
        1.11247224               -0.021          0 
        1.11187472               -0.002          0 
        1.11181013                -0.07          0 
        1.11009819               -0.017          0 
        1.10952862               -0.008          0 
        1.10934523               -0.034          0 
        1.10803842                0.015          0 
        1.10839863               -0.137          0 
        1.10534053                 0.03          0 
        1.10630237               -0.081          0 
        1.10425404               -0.013          0 
        1.10364065                 0.04          0 
        1.10498042                -0.07          0 
        1.10279986                0.014          0 
        1.10317582                0.052          0 
        1.10548811               -0.008          0 
        1.10523389               -0.077          0 
        1.10284468                0.025          0 
        1.10361799               -0.003          0 
        1.10353307                 0.04          0 
        1.10770045               -0.018          0 
        1.10697588                 0.06          0 
        1.10906194               -0.036          0 
        1.10808582               -0.025          0 
        1.10735795                0.072          0 
         1.1110838               -0.075          0 
        1.10980806                -0.02          0 
        1.10928611                0.031          0 
        1.11073812                0.006          0 
        1.11093417                -0.02          0 
        1.11019527                0.034          0 
        1.11106771               -0.033          0 
        1.10996746               -0.013          0 
        1.10947528                0.029          0 
        1.11042959               -0.049          0 
        1.10929711               -0.038          0 
        1.10825161               -0.009          0 
          1.108018               -0.025          0 
        1.10748692                0.064          0 
        1.11170071                0.007          0 
        1.11201084               -0.017          0 
        1.11166809               -0.051          0 
         1.1102603               -0.046          0 
        1.10910514               -0.046          0 
        1.10754814               -0.051          0 
        1.10590128                0.044          0 
        1.10825697               -0.007          0 
        1.10806326               -0.068          0 
        1.10615622               -0.061          0 
        1.10440324               -0.038          0 
        1.10347307                0.045          0 
        1.10524802               -0.028          0 
        1.10457273                0.036          0 
        1.10597115               -0.018          0 
        1.10500064                    0          0 
        1.10500064               -0.094          0 
        1.10320833               -0.009          0 
        1.10283878               -0.071          0 
        1.10130538                0.054          0 
        1.10535403                0.007          0 
        1.10553769                0.014          0 
        1.10599603               -0.059          0 
        1.10424753               -0.027          0 
        1.10352862                0.058          0 
        1.10657796                0.048          0 
        1.10804303                -0.01          0 
        1.10770147               -0.054          0 
        1.10589842               -0.037          0 
        1.10481106                0.008          0 
        1.10502666               -0.025          0 
         1.1042986                0.022          0 
        1.10498329                -0.01          0 
        1.10472178                    0          0 
        1.10472178                    0          0 
        1.10472178               -0.018          0 
        1.10431548               -0.007          0 
        1.10408224               -0.004          0 
        1.10391937                0.031          0 
        1.10545538               -0.014          0 
        1.10505888                0.047          0 
        1.10689293                0.029          0 
        1.10822772               -0.027          0 
        1.10756276               -0.065          0 
        1.10567243               -0.069          0 
        1.10428046                0.005          0 
        1.10444403               -0.014          0 
        1.10393869               -0.032          0 
        1.10236978                0.005          0 
        1.10255129                -0.02          0 
        1.10176291                0.034          0 
         1.1042302                0.056          0 
         1.1067242                0.014          0 
        1.10703648                -0.01          0 
        1.10665446                0.003          0 
        1.10677506               -0.029          0 
        1.10570187               -0.002          0 
        1.10562532                0.003          0 
        1.10571677                0.018          0 
        1.10631022                -0.03          0 
        1.10550067                0.005          0 
        1.10575657               -0.036          0 
        1.10467744                0.036          0 
        1.10592511                0.011          0 
        1.10638911   0.0009999999999999          0 
        1.10644416               -0.008          0 
        1.10606654               -0.029          0 
        1.10489435               -0.002          0 
        1.10484189               -0.028          0 
        1.10423441                0.021          0 
        1.10547593                0.037          0 
        1.10651009                0.005          0 
        1.10671726               -0.125          0 
          1.104111               -0.022          0 
        1.10298753               -0.035          0 
        1.10210994               -0.001          0 
        1.10207035               -0.015          0 
        1.10161381               -0.055          0 
        1.09982509                0.016          0 
        1.10056088                0.011          0 
        1.10087151                 0.06          0 
        1.10656861               -0.035          0 
        1.10555358               -0.011          0 
        1.10509353                0.088          0 
        1.11165817               -0.049          0 
        1.11011087               -0.053          0 
        1.10886327                0.021          0 
        1.10976643                0.053          0 
        1.11451886               -0.061          0 
        1.11187924               -0.106          0 
        1.10930999                0.016          0 
         1.1097658               -0.009          0 
        1.10948243                0.017          0 
        1.11011755               -0.069          0 
        1.10795859               -0.046          0 
        1.10682882               -0.061          0 
        1.10459253               -0.011          0 
        1.10416926               -0.025          0 
        1.10339753                 0.02          0 
        1.10469307                0.039          0 
        1.10643055                0.059          0 
        1.10939964                0.011          0 
        1.10976907               -0.011          0 
        1.10944398               -0.005          0 
        1.10919814               -0.052          0 
        1.10756083                0.005          0 
        1.10772368               -0.048          0 
        1.10625542               -0.071          0 
        1.10497923               -0.038          0 
        1.10411904               -0.043          0 
        1.10300557               -0.009          0 
        1.10277681               -0.077          0 
        1.10041887                0.074          0 
        1.10984185                -0.02          0 
        1.10923224               -0.059          0 
        1.10749744                0.036          0 
        1.10887954                -0.03          0 
         1.1079359                0.026          0 
        1.10906133               -0.045          0 
        1.10784099                0.003          0 
         1.1079081               -0.078          0 
        1.10583073               -0.035          0 
        1.10502383               -0.008          0 
        1.10477792               -0.067          0 
         1.1034558               -0.041          0 
        1.10233048               -0.005          0 
         1.1021337               -0.058          0 
        1.10096433                0.036          0 
        1.10271444                0.081          0 
        1.10886303               -0.009          0 
        1.10861563                0.066          0 
        1.11035469               -0.052          0 
        1.10892295                0.003          0 
        1.10900396               -0.069          0 
         1.1074287               -0.057          0 
        1.10582706                0.097          0 
        1.11983816               -0.046          0 
        1.11878882               -0.025          0 
        1.11816028               -0.036          0 
        1.11718441                0.047          0 
        1.11908618               -0.048          0 
        1.11777283                -0.05          0 
        1.11658339               -0.026          0 
          1.115504               -0.005          0 
        1.11537383               -0.102          0 
        1.11320776                -0.06          0 
        1.11129995               -0.034          0 
        1.11022345                0.021          0 
        1.11143922               -0.004          0 
         1.1112775               -0.097          0 
        1.10855385               -0.012          0 
        1.10824281               -0.028          0 
        1.10730758               -0.036          0 
        1.10646516                0.018          0 
         1.1072171               -0.062          0 
        1.10557899               -0.004          0 
         1.1054444               -0.009          0 
        1.10516751               -0.052          0 
        1.10359755               -0.055          0 
        1.10234186               -0.087          0 
        1.09967686               -0.019          0 
        1.09918998               -0.019          0 
        1.09872322                0.013          0 
        1.09913182               -0.012          0 
        1.09879892                0.001          0 
        1.09882995               -0.021          0 
        1.09815758                0.007          0 
        1.09836642                0.008          0 
        1.09863999                0.082          0 
        1.10350312               -0.011          0 
        1.10315497               -0.025          0 
        1.10265812               -0.019          0 
        1.10215163                 0.03          0 
        1.10426609               -0.019          0 
        1.10380527                0.039          0 
        1.10511729                0.009          0 
        1.10543592                0.053          0 
        1.10785528               -0.108          0 
        1.10515339               -0.028          0 
        1.10454655                -0.01          0 
        1.10415955               -0.029          0 
        1.10337721                    0          0 
        1.10337721               -0.045          0 
        1.10240068               -0.005          0 
        1.10221249                0.048          0 
         1.1041805               -0.084          0 
        1.10213767                0.037          0 
        1.10442114                0.013          0 
          1.105041                 0.06          0 
        1.11208794               -0.026          0 
         1.1115328               -0.098          0 
        1.10935014               -0.028          0 
         1.1082283               -0.031          0 
        1.10742782                0.017          0 
        1.10801296                0.007          0 
        1.10831786               -0.012          0 
        1.10778259  -0.0009999999999999          0 
        1.10774991               -0.013          0 
        1.10732887                -0.03          0 
        1.10646552               -0.003          0 
        1.10635459               -0.089          0 
        1.10456676                0.012          0 
        1.10519123               -0.061          0 
        1.10383782                0.028          0 
        1.10554697                0.054          0 
         1.1089446                0.014          0 
        1.10959338                0.037          0 
        1.11090169               -0.005          0 
        1.11074605                0.003          0 
        1.11081207                0.026          0 
        1.11193394               -0.099          0 
        1.10979545               -0.005          0 
        1.10963948                0.022          0 
         1.1104125               -0.053          0 
          1.109266               -0.094          0 
        1.10684362               -0.005          0 
        1.10670651                0.005          0 
        1.10682055                0.031          0 
        1.10822934                0.007          0 
        1.10869995                -0.08          0 
         1.1062744               -0.001          0 
        1.10623507               -0.008          0 
        1.10601946               -0.007          0 
        1.10579028               -0.059          0 
        1.10439711               -0.046          0 
        1.10304145                0.004          0 
        1.10317116                0.039          0 
        1.10457326               -0.029          0 
         1.1038469               -0.013          0 
        1.10346403               -0.044          0 
        1.10238822               -0.008          0 
        1.10204865               -0.037          0 
        1.10100799               -0.078          0 
        1.09811952                0.029          0 
        1.09989454               -0.031          0 
        1.09886212                0.022          0 
        1.09959068               -0.003          0 
        1.09950951               -0.005          0 
        1.09937273                -0.03          0 
        1.09871246                0.027          0 
        1.10002246                0.019          0 
        1.10103363               -0.017          0 
        1.10039589               -0.045          0 
        1.09927771                -0.01          0 
        1.09885026               -0.038          0 
        1.09776561               -0.011          0 
        1.09719376                -0.08          0 
        1.09537309                0.016          0 
        1.09594993                0.009          0 
        1.09636802               -0.022          0 
        1.09551603               -0.016          0 
         1.0949398                0.079          0 
        1.09876432                 0.03          0 
        1.10023536               -0.028          0 
        1.09957501                0.061          0 
        1.10591278               -0.028          0 
        1.10511817               -0.023          0 
        1.10464021               -0.058          0 
         1.1033697                0.015          0 
        1.10400361               -0.014          0 
        1.10349179               -0.027          0 
        1.10285361               -0.053          0 
        1.10142013                0.005          0 
        1.10154724                    0          0 
        1.10154724                0.032          0 
        1.10296855               -0.035          0 
        1.10204882                0.061          0 
        1.10401273               -0.002          0 
        1.10395301                -0.02          0 
        1.10330255                0.027          0 
        1.10427625               -0.024          0 
        1.10362884                0.099          0 
        1.11381617               -0.065          0 
        1.11250656                0.012          0 
        1.11289757               -0.003          0 
         1.1128163                -0.05          0 
        1.11143414               -0.028          0 
         1.1107656               -0.023          0 
        1.11010057                 0.05          0 
        1.11300998               -0.003          0 
        1.11293491               -0.007          0 
         1.1125941               -0.055          0 
        1.11101292                0.045          0 
        1.11300707               -0.051          0 
        1.11177257               -0.051          0 
        1.11067404               -0.013          0 
        1.11035416               -0.085          0 
        1.10794465               -0.002          0 
        1.10788368               -0.015          0 
        1.10752901               -0.068          0 
        1.10591837                0.004          0 
        1.10615073               -0.039          0 
        1.10499124                0.012          0 
        1.10556765               -0.008          0 
         1.1053735               -0.041          0 
        1.10454567                0.002          0 
        1.10464585               -0.013          0 
        1.10429888                0.002          0 
        1.10437498               -0.066          0 
        1.10251771                0.064          0 
         1.1090344               -0.016          0 
        1.10835445                0.044          0 
        1.11013201               -0.097          0 
        1.10682005                0.025          0 
        1.10790459                0.005          0 
        1.10808901               -0.022          0 
        1.10749414               -0.033          0 
        1.10641628               -0.036          0 
        1.10525212               -0.015          0 
        1.10487698                0.041          0 
        1.10620731               -0.037          0 
         1.1050553               -0.048          0 
        1.10402154               -0.014          0 
        1.10363606                0.017          0 
        1.10437029                0.057          0 
        1.10808411                0.004          0 
        1.10826674                0.043          0 
        1.11110773                0.023          0 
        1.11182163                0.013          0 
        1.11219326               -0.074          0 
        1.11066727               -0.021          0 
         1.1101335               -0.024          0 
        1.10941422               -0.016          0 
        1.10892303               -0.039          0 
        1.10773216                0.023          0 
        1.10860723               -0.011          0 
        1.10800049               -0.063          0 
        1.10641713                0.005          0 
        1.10660374               -0.067          0 
        1.10533341               -0.019          0 
        1.10484626               -0.056          0 
        1.10346967               -0.033          0 
        1.10278499               -0.047          0 
        1.10090153               -0.024          0 
        1.10028809                0.025          0 
        1.10151382               -0.005          0 
        1.10128909                 0.06          0 
        1.10359449                0.039          0 
         1.1064323               -0.047          0 
        1.10522564                0.073          0 
        1.11130153               -0.015          0 
        1.11089206               -0.018          0 
        1.11027084               -0.031          0 
        1.10948308               -0.051          0 
        1.10817523               -0.088          0 
        1.10587003               -0.022          0 
        1.10487579                0.008          0 
        1.10510705               -0.035          0 
        1.10417679               -0.062          0 
        1.10283882                0.014          0 
        1.10318969               -0.028          0 
        1.10240225                0.022          0 
         1.1032559                0.005          0 
        1.10349627               -0.039          0 
        1.10219139               -0.029          0 
        1.10121588               -0.078          0 
        1.09970746                0.088          0 
        1.11862671               -0.086          0 
        1.11690719                0.053          0 
        1.11884994               -0.084          0 
         1.1168245               -0.042          0 
        1.11535381               -0.043          0 
        1.11386638                0.014          0 
        1.11430963               -0.041          0 
