# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
             1.105             -0.00178          0 
        1.10494238             -0.00462          0 
        1.10479799             -0.00268          0 
        1.10471047             -0.01686          0 
        1.10418683             -0.01016          0 
        1.10387193             -0.00746          0 
        1.10362958             -0.00576          0 
        1.10343631             -0.00218          0 
        1.10336628               -0.002          0 
        1.10329949  -4.000000000004e-05          0 
         1.1032982             -0.00988          0 
        1.10299723             -0.00302          0 
        1.10290146             -0.00368          0 
        1.10277824              0.00212          0 
        1.10284535             -0.00048          0 
        1.10283018              0.01122          0 
        1.10321461             -0.00264          0 
        1.10313354             -0.00274          0 
        1.10304569             -0.00108          0 
        1.10300988  -0.0002600000000001          0 
        1.10300129  -0.0001599999999999          0 
        1.10299599             -0.00286          0 
        1.10290316             -0.00514          0 
        1.10273603               0.0082          0 
        1.10302923              0.00014          0 
        1.10303375             -0.01226          0 
        1.10265987               0.0047          0 
         1.1028144              -0.0039          0 
        1.10268296              0.00248          0 
        1.10276868              -0.0071          0 
        1.10253964              0.01198          0 
        1.10295734             -0.00324          0 
        1.10285467             -0.00832          0 
        1.10259524             -0.00502          0 
        1.10243806              -0.0044          0 
        1.10230054             -0.00158          0 
         1.1022479              0.00952          0 
        1.10257574              0.00744          0 
         1.1028534              0.00564          0 
        1.10304575  -0.0002599999999999          0 
