# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
               1.1              0.00877          0 
        1.10031113              0.01198          0 
        1.10073168              0.00292          0 
        1.10083245              0.00944          0 
         1.1011756              0.00628          0 
        1.10138234              0.00237          0 
        1.10146358              0.00179          0 
        1.10152164              0.00516          0 
        1.10169697             -0.00707          0 
        1.10147787             -0.00023          0 
