# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
              1.08              0.02237          0 
             1.084              0.01668          0 
             1.088              0.01656          0 
             1.092              0.01431          0 
             1.096              0.01177          0 
               1.1              0.00118          0 
             1.104  -0.0002600000000001          0 
             1.108             -0.00222          0 
             1.112             -0.00378          0 
             1.116             -0.00499          0 
