# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
               1.1               0.0133          0 
         1.1004406                0.016          0 
        1.10098855               0.0107          0 
        1.10134093               0.0114          0 
        1.10175392              -0.0158          0 
        1.10132508               0.0207          0 
        1.10208294               0.0057          0 
        1.10227451              -0.0226          0 
        1.10159768               0.0099          0 
        1.10194151                0.005          0 
        1.10211759               0.0163          0 
        1.10272981               0.0052          0 
        1.10288809              -0.0185          0 
         1.1022878              -0.0226          0 
        1.10157989              -0.0116          0 
        1.10123016               0.0042          0 
        1.10136578              -0.0101          0 
        1.10105982  -0.0007000000000001          0 
        1.10103592              -0.0137          0 
        1.10059222              -0.0031          0 
        1.10048909               0.0048          0 
        1.10066393              -0.0162          0 
        1.10011486               0.0135          0 
        1.10054852               0.0097          0 
        1.10089322              -0.0099          0 
        1.10057937                0.009          0 
        1.10092675               0.0021          0 
        1.10099469               0.0137          0 
        1.10151179               0.0152          0 
        1.10204151               0.0025          0 
        1.10211967               0.0148          0 
        1.10269806                0.008          0 
        1.10297837              -0.0036          0 
        1.10285963              -0.0179          0 
        1.10228867               0.0161          0 
        1.10293717              -0.0044          0 
        1.10279884               0.0039          0 
        1.10292684              -0.0094          0 
        1.10261843               -0.002          0 
        1.10255035              -0.0303          0 
         1.1016257               0.0317          0 
        1.10287674              -0.0121          0 
        1.10253694               0.0015          0 
        1.10258947               0.0147          0 
         1.1031148              -0.0032          0 
        1.10301167               0.0108          0 
        1.10342529               0.0183          0 
        1.10407085               -0.011          0 
        1.10373221               -0.016          0 
        1.10325862               0.0142          0 
        1.10375236               0.0074          0 
        1.10400747              -0.0092          0 
        1.10370938              -0.0027          0 
        1.10361833              -0.0111          0 
        1.10328539               0.0101          0 
        1.10360179               -0.016          0 
        1.10310221               0.0058          0 
        1.10328595              -0.0361          0 
        1.10221789              -0.0127          0 
        1.10182893               0.0137          0 
        1.10237155               0.0129          0 
        1.10280161               0.0055          0 
        1.10297459   0.0009000000000001          0 
         1.1030047               -0.007          0 
        1.10275775              -0.0108          0 
        1.10241103              -0.0072          0 
        1.10216821              -0.0107          0 
         1.1018503               0.0243          0 
        1.10263232               0.0072          0 
        1.10288993  -9.999999999999e-05          0 
        1.10288648              -0.0079          0 
        1.10264892              -0.0037          0 
         1.1025288              -0.0042          0 
        1.10239956              -0.0045          0 
        1.10226498               0.0036          0 
        1.10239593               0.0213          0 
        1.10319086              -0.0056          0 
        1.10299422               0.0037          0 
        1.10311941              -0.0046          0 
        1.10297541               0.0028          0 
        1.10309534               0.0182          0 
        1.10378898              -0.0039          0 
        1.10365969               0.0052          0 
        1.10384221              -0.0017          0 
        1.10378813               0.0113          0 
        1.10420963              -0.0125          0 
        1.10383919              -0.0245          0 
        1.10312189               0.0021          0 
        1.10319079              -0.0095          0 
         1.1029049              -0.0082          0 
        1.10266517              -0.0044          0 
         1.1025332               0.0036          0 
        1.10265328              -0.0149          0 
        1.10218641               0.0056          0 
        1.10238316               0.0239          0 
        1.10322339              -0.0237          0 
        1.10243459              -0.0436          0 
        1.10131491              -0.0076          0 
        1.10107923               0.0209          0 
        1.10186847               0.0182          0 
