# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
             0.998            0.0068975          0 
             1.018              0.01275          0 
             1.038            0.0234225          0 
             1.058              0.04178          0 
             1.078              0.06403          0 
             1.098            -0.004575          0 
             1.118             -0.14719          0 
             1.138           -0.1964525          0 
             1.158           -0.1670525          0 
             1.178               -0.141          0 
