# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
             0.998              0.05786          0 
             1.018             0.060295          0 
             1.038            0.0594275          0 
             1.058             0.051915          0 
             1.078            0.0384275          0 
             1.098            0.0038975          0 
             1.118             -0.02887          0 
             1.138           -0.0731575          0 
             1.158           -0.1151775          0 
             1.178           -0.1468875          0 
